Crop Type,Production Area Yield,TAPLEJUNG,SANKHUWASHAVA,SOLUKHUMBU,PANCHTHAR,ILLAM,TERHATHUM,DHANKUTA,BHOJPUR,KHOTANG,OKHALDHUNGA,UDAYAPUR,JHAPA,MORANG,SUNSARI,SAPTARI,SIRAHA,DOLAKHA,SINDHUPALCHOK,RASUWA,RAMECHAP,SINDHULI,KAVRE,BHAKTAPUR,LALITPUR,KATHMANDU,NUWAKOT,DHADING,MAKWANPUR,DHANUSHA,MAHOTTARI,SARLAHI,RAUTAHAT,BARA,PARSA,CHITWAN,MANANG,MUSTANG,GORKHA,LAMJUNG,TANAHU,KASKI,PARBAT,SYANGJA,PALPA,MYAGDI,BAGLUNG,GULMI,ARGHAKHANCHI,NAWALPARASI,RUPANDEHI,KAPILBASTU,DOLPA,MUGU,HUMLA,JUMLA,KALIKOT,RUKUM,ROLPA,PYUTHAN,SALYAN,JAJARKOT,DAILEKH,SURKHET,DANG,BANKE,BARDIYA,BAJURA,BAJHANG,DARCHULA,ACHHAM,DOTI,BAITADI,DADELDHURA,KAILALI,KANCHANPUR,NEPAL
Paddy,Area,4074,13650,1525,9200,12593,7606,7820,16093,12161,4355,12100,83200,82550,44940,35000,36000,3180,12200,1300,9408,13000,11310,4348,4680,7930,15692,12545,11130,44200,29400,45500,30355,60446,45600,29400,0,0,12192,14930,12540,22025,8835,16800,8620,3895,5782,10042,8189,44800,69600,69840,276,1350,574,2950,2563,3562,4715,6525,7024,4042,8307,13252,36508,32500,48500,3310,7006,4480,16500,10600,7000,5221,70400,45600,1425346
Paddy,Prod,8637,32660,3564,20240,31230,17494,22434,35893,26755,10310,47945,337792,288925,161784,95000,95300,6996,28217,3510,26164,41600,37009,26523,24804,45245,73762,50369,38995,141440,90500,127400,112994,156896,182400,103500,0,0,38587,37327,45144,83364,24738,60137,33100,12464,17715,27950,25386,180300,313200,209520,590,2551,880,7375,6671,9795,12259,21902,24942,10812,26161,50371,156984,102375,205000,7993,22769,10631,34795,22396,15680,19000,209757,143704,4788612
Paddy,Yield,2120,2393,2337,2200,2480,2300,2869,2230,2200,2367,3962,4060,3500,3600,2714,2647,2200,2313,2700,2781,3200,3272,6100,5300,5706,4701,4015,3504,3200,3078,2800,3722,2596,4000,3520,0,0,3165,2500,3600,3785,2800,3580,3840,3200,3064,2783,3100,4025,4500,3000,2138,1890,1533,2500,2603,2750,2600,3357,3551,2675,3149,3801,4300,3150,4227,2415,3250,2373,2109,2113,2240,3639,2980,3151,3360
Paddy,Area,9150,12000,12955,18432,31395,12350,6785,36360,41060,12400,9310,35500,14200,8350,3000,1730,5700,24900,2430,21398,23620,25354,1965,8589,9923,20450,19445,23650,2465,800,5500,1800,4750,4075,9200,176,516,17033,15975,22000,13773,13925,26500,20210,9135,19942,24014,16500,8400,2550,3120,255,621,118,4500,2573,16289,11880,12058,19370,9366,20150,15281,23200,8990,1200,790,3652,3558,3652,2748,14500,3744,5540,3600,882395
Maize,Prod,30770,15000,32517,30412,0,30875,15500,83735,75550,28520,22344,92000,48220,25050,7000,3460,12825,53301,4033,53922,58500,60849,8071,26626,33450,63435,37538,70950,7700,2100,15000,5800,13500,14262,26700,350,774,45480,31950,64300,31678,29938,79572,42386,29414,58808,52900,49500,14940,10500,9500,276,1092,182,7200,6026,32578,27342,21108,40059,14539,39292,39730,46168,19328,3000,1848,3871,6404,10163,5221,23417,10895,5755,6840,2145291
Maize,Yield,3363,1250,2510,1650,3550,2500,2284,2303,1840,2300,2400,2592,3396,3000,2333,2000,2250,2141,1660,2520,2477,2400,4107,3100,3371,3102,1930,3000,3124,2625,2727,3222,2842,3500,2902,1989,1500,2670,2000,2923,2300,2150,3003,2097,3220,2949,2203,3000,1779,4118,3045,1082,1758,1542,1600,2342,2000,2302,1751,2068,1552,1950,2600,1990,2150,7500,2339,1060,1800,2783,1900,1615,2910,1039,1900,2431
Maize,Area,3350,7171,2100,4750,1700,2700,7800,5505,21315,7751,2200,1780,1510,680,200,640,3600,19320,895,5060,11800,3515,110,570,852,5125,6930,2645,300,0,950,62,79,0,1550,0,0,11605,7919,6360,14767,8750,16505,2573,2740,18559,2905,505,500,50,0,291,4275,1270,3840,1263,915,1065,1995,2235,1935,2425,2100,20,0,0,2610,2286,1310,3420,5150,710,305,377,0,268050
Millet,Prod,4718,7514,2688,8980,1700,2969,7800,4404,23455,12626,2370,2136,1661,714,260,640,4250,22252,902,4550,9350,4042,156,570,852,9950,6594,3280,300,0,817,53,103,0,1550,0,0,15929,8523,5850,18720,7498,19350,2587,3493,21785,2915,656,520,55,0,298,4916,1312,4379,1983,1601,1320,2290,2335,2297,2645,2950,20,0,0,2750,2300,1155,3550,6500,1110,310,380,0,308488
Millet,Yield,1408,1048,1280,1891,1000,1100,1000,800,1100,1629,1077,1200,1100,1050,1300,1000,1181,1152,1008,899,792,1150,1418,1000,1000,1941,952,1240,1000,0,860,855,1304,0,1000,0,0,1373,1076,920,1268,857,1172,1005,1275,1174,1003,1299,1040,1100,0,1024,1150,1033,1140,1570,1750,1239,1148,1045,1187,1091,1405,1000,0,0,2662,1006,882,1038,1262,1563,1016,1008,0,1151
Buckwheat,Area,118,18,320,56,25,35,0,35,650,105,19,1270,70,400,0,0,435,0,0,19,530,671,0,50,5,200,0,185,0,0,0,0,0,0,0,300,582,393,15,193,14,38,230,448,148,84,212,275,200,0,0,682,485,670,85,123,0,122,15,63,28,27,0,20,0,0,7,7,100,0,12,0,0,25,0,10819
